mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
0.000000000000000000e+00,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000104e-03,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000590e-03,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000069e-02,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000118e-02,6.999999999999995634e+04,4.000000000000000327e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.750000000000000167e-02,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000389e-02,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
2.250000000000000611e-02,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000486e-02,6.999999999999998545e+04,4.000000000000001682e-05,0.000000000000000000e+00,1.000000000000000000e+00
2.750000000000000708e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000930e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
3.250000000000000805e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000001027e-02,7.000000000000002910e+04,4.000000000000003038e-05,0.000000000000000000e+00,1.000000000000000000e+00
3.750000000000001249e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000001471e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
4.250000000000001693e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000001221e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
4.750000000000001443e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000971e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
5.250000000000000500e-02,7.000000000000005821e+04,4.000000000000004393e-05,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000028e-02,7.000000000000004366e+04,4.000000000000003715e-05,0.000000000000000000e+00,1.000000000000000000e+00
